설치장소명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,그늘막유형,세부위치,설치년도,전체높이,펼침지름,관리기관명,관리기관전화번호,데이터기준일자
현대썬앤빌대구 정문 앞,대구광역시,달성군,대구광역시 달성군 다사읍 세천북로 50,대구광역시 달성군 다사읍 세천리 1560-12,35.878170,128.476699,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
대구 세천유치원 건너,대구광역시,달성군,대구광역시 달성군 다사읍 세천북로 10,대구광역시 달성군 다사읍 세천리 1566-3,35.875815,128.479823,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
다사역 3번출구,대구광역시,달성군,대구광역시 달성군 다사읍 다사역로 30,대구광역시 달성군 다사읍 매곡리 689-1,35.864729,128.458543,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
다사역 4번출구,대구광역시,달성군,대구광역시 달성군 다사읍 매곡1길 90,대구광역시 달성군 다사읍 매곡리 487-3,35.865352,128.458583,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
매곡사거리 온천골가마솥국밥 앞 횡단보도,대구광역시,달성군,대구광역시 달성군 다사읍 비슬로 2000,대구광역시 달성군 다사읍 매곡리 산 127,35.862689,128.458181,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
대실역1번출구,대구광역시,달성군,대구광역시 달성군 다사읍 죽곡1길 41,대구광역시 달성군 다사읍 죽곡리 106-4,35.857714,128.465979,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
대실역3번출구,대구광역시,달성군,대구광역시 달성군 다사읍 죽곡1길 43,대구광역시 달성군 다사읍 죽곡리 109-10,35.857564,128.465571,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
동아아이위시 아파트 쪽,대구광역시,달성군,대구광역시 달성군 다사읍 서재로 41길 12,대구광역시 달성군 다사읍 서재리 896-5,35.870387,128.487046,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
삼정그린코아 아파트 앞 교통섬,대구광역시,달성군,대구광역시 달성군 다사읍 세천북로 66,대구광역시 달성군 다사읍 세천리 162,35.878288,128.475079,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
다사대실초등학교 코너,대구광역시,달성군,대구광역시 달성군 다사읍 죽곡3길 16,대구광역시 달성군 다사읍 죽곡리 839,35.851351,128.464862,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
대실역4번출구,대구광역시,달성군,대구광역시 달성군 다사읍 죽곡1길 39,대구광역시 달성군 다사읍 죽곡리 105-2,35.857437,128.466324,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
맥도날드앞 삼거리,대구광역시,달성군,대구광역시 달성군 다사읍 죽곡길 4,대구광역시 달성군 다사읍 죽곡리 5-31,35.861800,128.461929,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
한라비발디 삼거리,대구광역시,달성군,대구광역시 달성군 다사읍 세천로 161,대구광역시 달성군 다사읍 세천리 1578-9,35.874887,128.478678,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
다사 동화아이위시 삼거리,대구광역시,달성군,대구광역시 달성군 다사읍 서재로41길 26,대구광역시 달성군 다사읍 서재리 924-4,35.868015,128.493228,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
남해오네뜨 2차 앞,대구광역시,달성군,대구광역시 달성군 유가읍 테크노대로2길 75,대구광역시 달성군 유가읍 봉리 604-1,35.694079,128.462597,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
테크노폴리스 4단지 앞,대구광역시,달성군,대구광역시 달성군 유가읍 테크노대로2길 73,대구광역시 달성군 유가읍 봉리 602-1,35.693728,128.460144,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
우미린아파트 맞은편,대구광역시,달성군,대구광역시 달성군 유가읍 테크노공원로 91,대구광역시 달성군 유가읍 봉리 620,35.692051,128.461459,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
유가초등학교 앞,대구광역시,달성군,대구광역시 달성군 유가읍 테크노대로5길 34,대구광역시 달성군 유가읍 봉리 623,35.692234,128.467738,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
해피타워 맞은편,대구광역시,달성군,대구광역시 달성군 유가읍 테크노중앙대로 304,대구광역시 달성군 유가읍 봉리 599,35.694301,128.457224,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
화성파크드림아파트,대구광역시,달성군,대구광역시 달성군 유가읍 테크노북로 165,대구광역시 달성군 유가읍 봉리 595,35.698117,128.461281,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
테크노폴리스 중앙공원 앞,대구광역시,달성군,대구광역시 달성군 유가읍 테크노공원로 58,대구광역시 달성군 유가읍 봉리 624,35.691414,128.459587,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
우미린아파트 앞,대구광역시,달성군,대구광역시 달성군 유가읍 테크노중앙대로 378,대구광역시 달성군 유가읍 봉리 656,35.691420,128.465290,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
유가읍 우미린아파트 앞,대구광역시,달성군,대구광역시 달성군 유가읍 테크노중앙대로 377,대구광역시 달성군 유가읍 봉리 655,35.693514,128.465371,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
"포산중학교, 퀸즈파크 111동 앞",대구광역시,달성군,대구광역시 달성군 유가읍 테크노중앙대로 367,대구광역시 달성군 유가읍 봉리 645,35.696866,128.459412,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
비슬사거리 대구테크노폴리스 4단지 405동 앞 횡단보도,대구광역시,달성군,대구광역시 달성군 유가읍 테크노대로2길 73,대구광역시 달성군 유가읍 봉리 602-2,35.693724,128.461522,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
포산중학교 맞은편 더킹수학학원 앞 횡단보도,대구광역시,달성군,대구광역시 달성군 유가읍 테크노중앙대로 366,대구광역시 달성군 유가읍 봉리 644,35.697689,128.459420,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
호반베르디움 앞,대구광역시,달성군,대구광역시 달성군 유가읍 테크노중앙대로 377,대구광역시 달성군 유가읍 봉리 655,35.693514,128.465371,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
이마트편의점 테크노4단지 맞은편 공원 코너,대구광역시,달성군,대구광역시 달성군 유가읍 테크노중앙대로 369,대구광역시 달성군 유가읍 봉리 647,35.695210,128.459399,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
포산동 사거리 풍경채아파트 앞,대구광역시,달성군,대구광역시 달성군 유가읍 테크노중앙대로 380,대구광역시 달성군 유가면 봉리 658,35.686205,128.457464,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
포산동 사거리 예미지 아파트 앞,대구광역시,달성군,대구광역시 달성군 유가읍 테크노중앙대로 380,대구광역시 달성군 유가면 봉리 658,35.686205,128.457464,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
포산동 사거리 예미지 아파트 맞은편,대구광역시,달성군,대구광역시 달성군 유가읍 테크노대로6길 20,대구광역시 달성군 유가읍 상리 917,35.686622,128.465225,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
